body_site	days	p	c	o	f	g	s	VaginaASV	seeding.effectiveness.scale	feature.frequency	P.VD	P.CSR	P.CS
Feces	180	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Lachnospiraceae	g_Roseburia	s_faecis	TRUE	0.942	0.209	0.385	0.466	0.148
Feces	180	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Ruminococcaceae	g_Faecalibacterium	s_prausnitzii	TRUE	0.814	0.14	0.501	0.311	0.188
Feces	180	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Veillonellaceae	g_Veillonella	s_dispar	TRUE	0.903	0.512	0.325	0.566	0.109
Feces	180	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacteriales	f_Enterobacteriaceae	g_Proteus	s_	FALSE	0.937	0.105	0.427	0.411	0.162
Feces	180	p_Proteobacteria	c_Gammaproteobacteria	o_Pseudomonadales	f_Moraxellaceae	g_Acinetobacter	s_guillouiae	FALSE	0.98	0.14	0.438	0.459	0.103
Forearm	2	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Actinomycetaceae	g_Varibaculum	s_	TRUE	0.909	0.116	0.365	0.455	0.179
Forearm	2	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Dietziaceae	g_Dietzia	s_	FALSE	0.954	0.101	0.429	0.414	0.157
Forearm	2	p_Actinobacteria	c_Actinobacteria	o_Bifidobacteriales	f_Bifidobacteriaceae	g_Bifidobacterium	-	TRUE	0.969	0.377	0.46	0.404	0.136
Forearm	2	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_	TRUE	0.976	0.101	0.404	0.472	0.125
Forearm	2	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_	TRUE	0.955	0.101	0.354	0.533	0.113
Forearm	2	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_copri	TRUE	0.928	0.101	0.364	0.476	0.16
Forearm	2	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Lactobacillaceae	g_Lactobacillus	s_iners	TRUE	0.929	0.493	0.422	0.4	0.178
Forearm	2	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Leuconostocaceae	g_Leuconostoc	s_	FALSE	0.904	0.13	0.312	0.621	0.067
Forearm	2	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_	TRUE	0.922	0.29	0.424	0.394	0.182
Forearm	2	p_Firmicutes	c_Clostridia	o_Clostridiales	f_[Tissierellaceae]	g_1-68	s_	TRUE	0.96	0.13	0.346	0.567	0.087
Forearm	2	p_Firmicutes	c_Clostridia	o_Clostridiales	f_[Tissierellaceae]	g_Anaerococcus	s_	TRUE	0.918	0.116	0.354	0.487	0.159
Forearm	2	p_Firmicutes	c_Clostridia	o_Clostridiales	f_[Tissierellaceae]	g_Anaerococcus	s_	TRUE	0.895	0.275	0.338	0.505	0.157
Forearm	2	p_Firmicutes	c_Clostridia	o_Clostridiales	f_[Tissierellaceae]	g_Anaerococcus	s_	TRUE	0.867	0.13	0.356	0.438	0.206
Forearm	2	p_Firmicutes	c_Clostridia	o_Clostridiales	f_[Tissierellaceae]	g_Anaerococcus	s_	TRUE	0.857	0.101	0.346	0.451	0.203
Forearm	2	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Clostridiaceae	g_Thermoanaerobacterium	s_	FALSE	0.929	0.159	0.111	0.064	0.825
Forearm	2	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Ruminococcaceae	g_Faecalibacterium	s_prausnitzii	TRUE	0.897	0.101	0.407	0.394	0.199
Forearm	2	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Ruminococcaceae	g_Gemmiger	s_formicilis	TRUE	0.886	0.101	0.329	0.522	0.149
Forearm	2	p_Proteobacteria	c_Betaproteobacteria	o_Burkholderiales	f_Oxalobacteraceae	-	-	FALSE	0.917	0.101	0.447	0.374	0.179
Forearm	2	p_Proteobacteria	c_Gammaproteobacteria	o_Pseudomonadales	f_Moraxellaceae	g_Acinetobacter	s_guillouiae	FALSE	0.927	0.29	0.381	0.446	0.173
Forearm	2	p_Proteobacteria	c_Gammaproteobacteria	o_Pseudomonadales	f_Pseudomonadaceae	-	-	FALSE	0.856	0.101	0.136	0.081	0.783
Forearm	30	p_[Thermi]	c_Deinococci	o_Thermales	f_Thermaceae	g_Thermus	s_	TRUE	0.964	0.101	0.39	0.487	0.123
Forearm	30	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Corynebacteriaceae	g_Corynebacterium	-	TRUE	0.976	0.876	0.443	0.442	0.115
Forearm	30	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Dermabacteraceae	g_Dermabacter	s_	TRUE	0.957	0.101	0.441	0.416	0.143
Forearm	30	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Geodermatophilaceae	g_	s_	FALSE	0.951	0.101	0.353	0.545	0.101
Forearm	30	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Micrococcaceae	g_Arthrobacter	s_	FALSE	0.923	0.124	0.485	0.362	0.154
Forearm	30	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Micrococcaceae	g_Micrococcus	-	TRUE	0.89	0.573	0.351	0.47	0.179
Forearm	30	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Micrococcaceae	g_Rothia	s_mucilaginosa	TRUE	0.945	0.18	0.519	0.359	0.121
Forearm	30	p_Actinobacteria	c_Coriobacteriia	o_Coriobacteriales	f_Coriobacteriaceae	g_Atopobium	s_vaginae	TRUE	0.955	0.112	0.333	0.628	0.039
