Sampling Sites	Days	Taxonomy	VaginaASV	seeding.effectiveness.scale	feature.frequency	P.VD	P.CSR	P.CS
Feces	180	Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.unknown.asv_7	FALSE	0.842	0.291	0.416	0.356	0.228
Feces	180	Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.fragilis.asv_684	TRUE	0.949	0.314	0.597	0.338	0.065
Feces	180	Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.unknown.asv_536	TRUE	0.985	0.105	0.408	0.513	0.08
Feces	180	Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.unknown.asv_403	TRUE	0.911	0.14	0.328	0.567	0.105
Feces	180	Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.copri.asv_386	TRUE	0.936	0.174	0.13	0.013	0.856
Feces	180	Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.unknown.asv_25	TRUE	0.881	0.756	0.34	0.486	0.174
Feces	180	Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.unknown.asv_26	TRUE	0.853	0.744	0.335	0.468	0.197
Feces	180	Firmicutes.Clostridia.Clostridiales.[Tissierellaceae].WAL_1855D.unknown.asv_42	TRUE	0.863	0.14	0.355	0.435	0.21
Feces	180	Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium.unknown.asv_703	FALSE	0.832	0.116	0.18	0.012	0.808
Feces	180	Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.unknown.asv_1710	TRUE	0.974	0.477	0.442	0.443	0.115
Feces	180	Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Clostridium.clostridioforme.asv_1865	FALSE	0.986	0.198	0.374	0.587	0.038
Feces	180	Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Coprococcus.unknown.asv_1856	TRUE	0.822	0.302	0.385	0.368	0.247
Feces	180	Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia.faecis.asv_433	TRUE	0.942	0.209	0.385	0.466	0.148
Feces	180	Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium.prausnitzii.asv_1681	TRUE	0.814	0.14	0.501	0.311	0.188
Feces	180	Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Veillonella.dispar.asv_91	TRUE	0.903	0.512	0.325	0.566	0.109
Feces	180	Fusobacteria.Fusobacteriia.Fusobacteriales.Fusobacteriaceae.Fusobacterium.unknown.asv_304	TRUE	0.8	0.14	0.337	0.414	0.249
Feces	180	Proteobacteria.Gammaproteobacteria.Enterobacteriales.Enterobacteriaceae.Proteus.unknown.asv_883	FALSE	0.937	0.105	0.427	0.411	0.162
Feces	180	Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Acinetobacter.guillouiae.asv_2620	FALSE	0.98	0.14	0.438	0.459	0.103
Mouth	2	[Thermi].Deinococci.Deinococcales.Deinococcaceae.Deinococcus.geothermalis.asv_21102	TRUE	0.891	0.145	0.308	0.627	0.065
Mouth	2	Actinobacteria.Actinobacteria.Actinomycetales.Micrococcaceae.Rothia.mucilaginosa.asv_258	FALSE	0.925	0.539	0.318	0.628	0.054
Mouth	2	Actinobacteria.Actinobacteria.Actinomycetales.Micrococcaceae.Rothia.mucilaginosa.asv_1625	TRUE	0.916	0.303	0.443	0.377	0.18
Mouth	2	Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Gardnerella.unknown.asv_3344	TRUE	0.853	0.158	0.305	0.586	0.109
Mouth	2	Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.uniformis.asv_10	TRUE	0.885	0.118	0.325	0.535	0.14
Mouth	2	Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.unknown.asv_208	TRUE	0.862	0.184	0.306	0.593	0.101
Mouth	2	Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.melaninogenica.asv_260	TRUE	0.88	0.276	0.362	0.436	0.202
Mouth	2	Bacteroidetes.Flavobacteriia.Flavobacteriales.[Weeksellaceae].unknown.unknown.asv_1653	FALSE	0.865	0.118	0.308	0.585	0.107
Mouth	2	Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.iners.asv_2259	TRUE	0.927	0.355	0.408	0.414	0.178
Mouth	2	Firmicutes.Clostridia.Clostridiales.[Tissierellaceae].WAL_1855D.unknown.asv_42	TRUE	0.923	0.105	0.38	0.445	0.175
