	formula	min_features	batch_size	differential_prior	CV	baseline_CV	q_squared	body_site	days	model	best
123	"C(birth_mode_ms, Treatment(""Vag""))"	3	30	0.5	856.4593444824219	869.8572937011719	0.01540246810110979	Baby-Mouth	2.0	TP-model-no-country	
126	"C(birth_mode_ms, Treatment(""Vag""))"	7	15	0.25	1544.4804077148438	1639.466162109375	0.05793700204969188	Baby-Mouth	2.0	TP-model-no-country	
127	"C(birth_mode_ms, Treatment(""Vag""))"	7	15	0.5	1544.4814453125	1639.4664428710937	0.05793653049235492	Baby-Mouth	2.0	TP-model-no-country	
128	"C(birth_mode_ms, Treatment(""Vag""))"	7	30	0.25	1836.1473510742187	1845.8774536132812	0.005271261383043568	Baby-Mouth	2.0	TP-model-no-country	
129	"C(birth_mode_ms, Treatment(""Vag""))"	7	30	0.5	1836.1474731445312	1845.8773559570313	0.00527114262553785	Baby-Mouth	2.0	TP-model-no-country	
134	"C(birth_mode_ms, Treatment(""Vag""))"	4	36	0.25	792.1701171875	792.774560546875	0.0007624404079743519	Baby-Mouth	30.0	TP-model-no-country	
135	"C(birth_mode_ms, Treatment(""Vag""))"	4	36	0.5	792.1701110839844	792.7745361328125	0.0007624173346643115	Baby-Mouth	30.0	TP-model-no-country	Yes
142	"C(birth_mode_ms, Treatment(""Vag""))"	9	9	0.25	870.2746276855469	879.4715087890625	0.010457281460065415	Baby-Mouth	30.0	TP-model-no-country	
143	"C(birth_mode_ms, Treatment(""Vag""))"	9	9	0.5	870.274072265625	879.4715942382812	0.010458009141980584	Baby-Mouth	30.0	TP-model-no-country	
144	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	16	0.25	432.72422180175784	486.21045837402346	0.11000634735651993	Baby-Feces	120.0	TP-model-w-country	Yes
145	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	16	0.5	432.72431030273435	486.2106567382813	0.11000652843431546	Baby-Feces	120.0	TP-model-w-country	
146	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	33	0.25	463.80262756347656	520.8009582519531	0.10944359795302439	Baby-Feces	120.0	TP-model-w-country	
147	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	33	0.5	463.8024383544922	520.8008361816406	0.10944375251976168	Baby-Feces	120.0	TP-model-w-country	
150	"C(birth_mode_ms, Treatment(""Vag"")) + country"	8	16	0.25	802.9050537109375	829.3504272460938	0.0318868510419289	Baby-Feces	120.0	TP-model-w-country	
151	"C(birth_mode_ms, Treatment(""Vag"")) + country"	8	16	0.5	802.905224609375	829.3505126953125	0.031886744725089566	Baby-Feces	120.0	TP-model-w-country	
152	"C(birth_mode_ms, Treatment(""Vag"")) + country"	8	33	0.25	843.4467529296875	919.4436889648438	0.08265534577839939	Baby-Feces	120.0	TP-model-w-country	
153	"C(birth_mode_ms, Treatment(""Vag"")) + country"	8	33	0.5	843.4468566894532	919.4436218261719	0.08265516594239486	Baby-Feces	120.0	TP-model-w-country	
156	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	17	0.25	150.57428741455078	171.9343002319336	0.12423357520034617	Baby-Feces	180.0	TP-model-w-country	
157	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	17	0.5	150.57503204345704	171.93438110351562	0.1242296562384394	Baby-Feces	180.0	TP-model-w-country	
158	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	34	0.25	170.7925231933594	183.51522064208984	0.06932775060409602	Baby-Feces	180.0	TP-model-w-country	
159	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	34	0.5	170.79271240234374	183.51520690917968	0.06932664993333337	Baby-Feces	180.0	TP-model-w-country	
160	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	8	0.25	142.65743408203124	152.06768798828125	0.061882008142158274	Baby-Feces	180.0	TP-model-w-country	Yes
161	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	8	0.5	142.6575714111328	152.06787719726563	0.06188227230873733	Baby-Feces	180.0	TP-model-w-country	
162	"C(birth_mode_ms, Treatment(""Vag"")) + country"	8	17	0.25	248.97461700439453	282.8199859619141	0.11967106512082681	Baby-Feces	180.0	TP-model-w-country	
163	"C(birth_mode_ms, Treatment(""Vag"")) + country"	8	17	0.5	248.97518310546874	282.8200653076172	0.11966931046895879	Baby-Feces	180.0	TP-model-w-country	
164	"C(birth_mode_ms, Treatment(""Vag"")) + country"	8	34	0.25	290.5627746582031	309.11488647460936	0.060016882486602974	Baby-Feces	180.0	TP-model-w-country	
165	"C(birth_mode_ms, Treatment(""Vag"")) + country"	8	34	0.5	290.56285095214844	309.11488342285156	0.06001662639234684	Baby-Feces	180.0	TP-model-w-country	
166	"C(birth_mode_ms, Treatment(""Vag"")) + country"	8	8	0.25	245.15582733154298	257.0861877441406	0.04640607306554734	Baby-Feces	180.0	TP-model-w-country	
167	"C(birth_mode_ms, Treatment(""Vag"")) + country"	8	8	0.5	245.15619659423828	257.086328125	0.046405157433969446	Baby-Feces	180.0	TP-model-w-country	
